Date,Total miles driven (annually),Odometer,Gasoline (gallons)
2012,45000,,
2013,45000,,
2014,35000,,
2015,9967,,
2016,10833,,
2017,9550,,
2018,8650,,
2019,9154,,
03/20/2019,,24086,
01/01/2020,,29274,
12/22/2020,,33660,
12/27/2020 09:27 AM,,33733,13.722
2020,4507,,
01/01/2021,,33781,
01/22/2021 10:29 AM,,34007,13.886
02/11/2021 10:21 AM,,34269,13.872
03/05/2021 11:32 AM,,34568,13.369
03/29/2021 12:38 PM,,34835,13.794
04/20/2021 08:48 AM,,35091,10.003
05/08/2021 02:36 PM,,35283,14.048
05/28/2021 12:40 PM,,35579,14.491
06/20/2021 12:01 PM,,35874,13.978
07/10/2021 08:14 AM,,36182,13.579
07/24/2021 04:31 PM,,36471,13.909
08/05/2021 12:21 PM,,36791,12.239
08/11/2021 10:55 AM,,37088,10.388
08/27/2021 12:32 PM,,37450,14.028
09/17/2021 09:41 AM,,37745,14.069
10/13/2021 12:01 PM,,38030,14.79
11/06/2021 01:34 PM,,0,0
11/06/2021 01:36 PM,,38323,14.214
11/20/2021 09:50 AM,,38672,13.156
11/20/2021 04:23 PM,,39072,12.764
11/27/2021 10:55 AM,,39378,10.17
11/27/2021 02:49 PM,,39733,14.023
01/05/2022,,40088,
2021,6307,,
01/05/2022 09:19 AM,,40088,14.816
02/07/2022 11:27 AM,,40362,8.958
02/23/2022 03:28 PM,,40532,7.372
03/08/2022 06:35 PM,,40669,13.446
04/13/2022 10:36 AM,,40967,13.618
05/06/2022 12:45 PM,,41234,13.998
05/24/2022 08:43 AM,,41514,13.101
06/15/2022 05:07 PM,,41805,14.034
06/30/2022 02:00 PM,,42067,11.474
07/16/2022 01:48 PM,,42369,13.917
08/03/2022 08:11 AM,,42626,13.240
08/24/2022 08:34 AM,,42901,13.223
09/11/2022 08:43 AM,,43182,12.962
09/29/2022 12:31 PM,,43583,14.208
10/21/2022 12:19 PM,,43862,13.381
11/15/2022 09:33 AM,,44172,14.265
11/24/2022 09:13 AM,,44455,11.149
11/24/2022 03:20 PM,,44804,11.973
11/28/2022 10:10 AM,,45171,13.461
11/28/2022 01:09 PM,,45389,8.262
12/09/2022 09:59 AM,,45763,13.486
12/23/2022 09:12 AM,,46050,12.842
12/23/2022 03:02 PM,,46389,11.248
12/27/2022 09:42 AM,,46752,13.698
12/27/2022 12:25 PM,,46945,7.757
01/01/2023 00:01 AM,,47279,-
01/04/2023 09:39 AM,,47325,13.559
02/01/2023 10:08 AM,,47625,13.990
02/24/2023 10:08 AM,,47938,13.838
03/15/2023 09:28 AM,,48259,13.379
03/29/2023 11:42 AM,,48590,13.916
04/19/2023 07:22 AM,,48904,13.785
05/04/2023 01:57 PM,,49240,13.171
05/18/2023 01:43 PM,,49621,14.074
06/05/2023 02:09 PM,,49964,14.576
06/26/2023 11:17 AM,,50249,12.943
07/14/2023 02:50 PM,,50516,13.980
07/30/2023 04:09 PM,,50796,13.777
08/27/2023 08:42 AM,,51062,14.695
09/19/2023 03:10 PM,,51370,13.067
10/04/2023 11:11 AM,,51712,15.000
10/25/2023 11:51 AM,,52025,13.878
11/16/2023 12:24 PM,,52322,14.006
11/21/2023 09:18 AM,,52577,9.282
11/21/2023 12:31 PM,,52733,5.287
11/25/2023 07:58 AM,,53122,13.401
11/25/2023 12:28 PM,,53409,8.750
11/25/2023 03:20 PM,,53673,8.336
12/13/2023 09:26 AM,,53947,13.792
